,name,SID,timestamp,visitors,avgDuration,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos,injected_value,anomaly
507,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 07:00:00+02:00,160.0,17.45,0,0.9659258262890684,-0.2588190451025206,0.0,1.0,160.0,0.0
508,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 08:00:00+02:00,257.0,18.7,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,257.0,0.0
509,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 09:00:00+02:00,355.0,21.066666666666663,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,355.0,0.0
510,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 10:00:00+02:00,464.0,19.594583333333333,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,464.0,0.0
511,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 11:00:00+02:00,395.0,12.03,0,0.258819045102521,-0.9659258262890682,0.0,1.0,395.0,0.0
512,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 12:00:00+02:00,379.0,19.405,0,1.2246467991473532e-16,-1.0,0.0,1.0,379.0,0.0
513,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 13:00:00+02:00,439.0,16.930000000000003,0,-0.2588190451025208,-0.9659258262890684,0.0,1.0,439.0,0.0
514,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 14:00:00+02:00,352.0,17.5925,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,352.0,0.0
515,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 15:00:00+02:00,367.0,18.04,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,367.0,0.0
516,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 16:00:00+02:00,418.0,20.82333333333333,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,418.0,0.0
517,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 17:00:00+02:00,397.0,17.3825,0,-0.9659258262890684,-0.2588190451025206,0.0,1.0,825.5450362145814,1.0
518,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 18:00:00+02:00,332.0,13.4,0,-1.0,-1.8369701987210294e-16,0.0,1.0,332.0,0.0
519,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 19:00:00+02:00,180.0,16.4,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,180.0,0.0
520,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 20:00:00+02:00,132.0,12.055,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,132.0,0.0
521,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 21:00:00+02:00,63.0,16.425,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,63.0,0.0
522,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 22:00:00+02:00,64.0,15.760000000000002,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,64.0,0.0
523,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 23:00:00+02:00,13.0,5.86,0,-0.2588190451025215,0.965925826289068,0.0,1.0,13.0,0.0
524,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 00:00:00+02:00,100.0,46.98,1,0.0,1.0,0.7818314824680298,0.6234898018587336,100.0,0.0
525,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 01:00:00+02:00,32.0,26.756666666666664,1,0.2588190451025207,0.9659258262890684,0.7818314824680298,0.6234898018587336,32.0,0.0
526,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 02:00:00+02:00,12.0,31.5,1,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,12.0,0.0
527,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 03:00:00+02:00,16.0,23.955,1,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,16.0,0.0
528,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 04:00:00+02:00,22.0,24.51,1,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,22.0,0.0
529,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 05:00:00+02:00,62.0,23.313333333333333,1,0.9659258262890684,0.2588190451025207,0.7818314824680298,0.6234898018587336,62.0,0.0
530,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 06:00:00+02:00,123.0,19.21666666666667,1,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,123.0,0.0
531,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 07:00:00+02:00,194.0,16.325,1,0.9659258262890684,-0.2588190451025206,0.7818314824680298,0.6234898018587336,0.0,1.0
